rank,state,lcas,salary
1,California,83794,91967
2,New York,42522,88403
3,Texas,42179,78180
4,New Jersey,29774,75823
5,Illinois,24493,76560
6,Massachusetts,16884,83259
7,Pennsylvania,16769,76990
8,Washington,15489,93715
9,Florida,15264,74756
10,Georgia,13983,74786
11,Virginia,13113,76651
12,North Carolina,11664,76266
13,Ohio,11637,75722
14,Michigan,11529,74777
15,Maryland,8124,76500
16,Connecticut,7441,82224
17,Minnesota,7189,76676
18,Arizona,6381,78029
19,Wisconsin,5048,79226
20,Missouri,4987,76864
21,Colorado,4888,78306
22,Indiana,4270,79484
23,Tennessee,4264,75061
24,Oregon,3711,84783
25,District of Columbia,3682,78046
26,Delaware,3170,78669
27,Iowa,2604,81680
28,Arkansas,2440,75989
29,Kansas,2231,78258
30,Utah,1942,72919
31,Kentucky,1885,87328
32,Rhode Island,1792,78682
33,South Carolina,1671,70193
34,Louisiana,1660,75990
35,Oklahoma,1575,71473
36,New Hampshire,1557,81009
37,Alabama,1486,77885
38,Nebraska,1388,84318
39,Nevada,1119,80777
40,New Mexico,854,89273
41,Maine,672,93606
42,Mississippi,668,86690
43,Idaho,635,75178
44,Hawaii,615,69642
45,West Virginia,518,104454
46,North Dakota,469,97981
47,Vermont,262,75876
48,South Dakota,261,86207
49,Alaska,259,84970
50,Montana,156,84496
51,Wyoming,127,97566
