state,company,lcas
California,Infosys,"5,836"
California,Qualcomm Technologies,"1,921"
California,Google,"1,814"
California,Wipro,"1,212"
California,Apple,999
New York,Infosys,"1,224"
New York,"Goldman, Sachs",568
New York,Ernst & Young,563
New York,CitiGroup,559
New York,Ibm,520
Texas,Infosys,"3,415"
Texas,Tata Consultancy Services,778
Texas,Wipro,650
Texas,Accenture,565
Texas,Deloitte Consulting,496
New Jersey,Infosys,"1,574"
New Jersey,Ibm,889
New Jersey,Larsen & Toubro Infotech,772
New Jersey,Tata Consultancy Services,743
New Jersey,Wipro,413
Illinois,Infosys,"2,311"
Illinois,Tata Consultancy Services,981
Illinois,Accenture,582
Illinois,Ibm,473
Illinois,Deloitte Consulting,414
Massachusetts,Infosys,601
Massachusetts,Wipro,543
Massachusetts,The Mathworks,361
Massachusetts,Harvard University,323
Massachusetts,Massachusetts Institute Of Technology,283
Pennsylvania,Deloitte Consulting,"1,273"
Pennsylvania,Infosys,760
Pennsylvania,University Of Pittsburgh,404
Pennsylvania,Trustees Of The University Of Pennsylvania,389
Pennsylvania,Tata Consultancy Services,376
Washington,Microsoft,"3,294"
Washington,Infosys,"1,974"
Washington,Amazon Corporate,"1,141"
Washington,Hcl America,311
Washington,University Of Washington,213
Florida,Infosys,892
Florida,Tata Consultancy Services,383
Florida,Ernst & Young,291
Florida,University Of Florida,234
Florida,Cvs Rx Services,169
Georgia,Infosys,979
Georgia,Tata Consultancy Services,373
Georgia,Capgemini,297
Georgia,Emory University,230
Georgia,Ibm,221
Virginia,Infosys,663
Virginia,Deloitte Consulting,237
Virginia,Akvarr,237
Virginia,Capital One Services,225
Virginia,Wipro,181
North Carolina,Infosys,"2,569"
North Carolina,Ibm,403
North Carolina,Tata Consultancy Services,363
North Carolina,Duke University And Medical Center,245
North Carolina,Hcl America,208
Ohio,Infosys,883
Ohio,Tata Consultancy Services,603
Ohio,Wipro,320
Ohio,The Ohio State University,284
Ohio,Larsen & Toubro Infotech,272
Michigan,University Of Michigan,453
Michigan,Tata Consultancy Services,321
Michigan,Infosys,294
Michigan,Michigan State University,217
Michigan,Hcl Global Systems,158
Maryland,Johns Hopkins University,398
Maryland,"National Institutes Of Health, Hhs",389
Maryland,University Of Maryland College Park,252
Maryland,Baltimore City Public Schools,154
Maryland,University Of Maryland Baltimore,142
Connecticut,Infosys,"1,069"
Connecticut,Larsen & Toubro Infotech,456
Connecticut,Yale University,331
Connecticut,Tata Consultancy Services,230
Connecticut,Accenture,193
Minnesota,Infosys,748
Minnesota,Tata Consultancy Services,502
Minnesota,Wipro,274
Minnesota,Accenture,264
Minnesota,Mayo Clinic,252
Arizona,Infosys,"1,354"
Arizona,Tata Consultancy Services,258
Arizona,Intel,242
Arizona,The University Of Arizona,205
Arizona,Intraedge,166
Wisconsin,Infosys,909
Wisconsin,University Of Wisconsin-madison,187
Wisconsin,Larsen & Toubro Infotech,155
Wisconsin,Wipro,134
Wisconsin,Tata Consultancy Services,110
Missouri,Infosys,401
Missouri,Cerner,372
Missouri,Washington University In St. Louis,250
Missouri,The Curators Of The University Of Missouri,161
Missouri,Wipro,108
Colorado,Infosys,308
Colorado,University Of Colorado,250
Colorado,Wipro,212
Colorado,Tata Consultancy Services,167
Colorado,Deloitte Consulting,134
Indiana,Cummins,361
Indiana,Indiana Univ. Purdue Univ. Indianapolis,217
Indiana,Tata Consultancy Services,170
Indiana,Purdue University,168
Indiana,Indiana University,157
Tennessee,Vanderbilt University,213
Tennessee,Wipro,196
Tennessee,Oak Ridge Associated Universities,160
Tennessee,Infosys,158
Tennessee,Synechron,140
Oregon,Intel,784
Oregon,Infosys,585
Oregon,Wipro,197
Oregon,Oregon Health & Science University,85
Oregon,Oregon State University,71
District of Columbia,Infosys,156
District of Columbia,Georgetown University,128
District of Columbia,Children's National Medical Center,73
District of Columbia,Howard University,58
District of Columbia,Paramount Child Development Center,56
Delaware,Jpmorgan Chase,204
Delaware,Infosys,204
Delaware,Venturesoft Global,153
Delaware,Tata Consultancy Services,144
Delaware,Accenture,124
Iowa,The University Of Iowa,273
Iowa,Iowa State University Of Science And Technology,107
Iowa,Rockwell Collins,94
Iowa,Infosys,75
Iowa,Tata Consultancy Services,59
Arkansas,Infosys,560
Arkansas,Wal-mart Associates,186
Arkansas,Ust Global,153
Arkansas,University Of Arkansas For Medical Sciences,105
Arkansas,Tata Consultancy Services,85
Kansas,Infosys,178
Kansas,Kansas State University,84
Kansas,Ibm,73
Kansas,University Of Kansas Medical Center,65
Kansas,The University Of Kansas,59
Utah,Infosys,366
Utah,University Of Utah,181
Utah,"Goldman, Sachs",164
Utah,Im Flash Technologies,71
Utah,Overstock.com,45
Kentucky,University Of Kentucky,115
Kentucky,Tata Consultancy Services,113
Kentucky,Deloitte Consulting,84
Kentucky,Infosys,79
Kentucky,University Of Louisville,71
Rhode Island,Infosys,475
Rhode Island,Cvs Rx Services,102
Rhode Island,Tata Consultancy Services,101
Rhode Island,Brown University,80
Rhode Island,Deloitte Consulting,70
South Carolina,Medical University Of South Carolina,123
South Carolina,Wipro,59
South Carolina,Clemson University,52
South Carolina,Satyam Computer Services,32
South Carolina,Ibm,29
Louisiana,Lsu Health Sciences Center,90
Louisiana,Comtec Consultants,84
Louisiana,Louisiana State University And A & M College,80
Louisiana,Infosytech Solutions,55
Louisiana,The Administrators Of The Tulane Endowment Fund,54
Oklahoma,University Of Oklahoma Health Sciences Center,146
Oklahoma,Wipro,75
Oklahoma,Larsen & Toubro Infotech,69
Oklahoma,Oklahoma State University,50
Oklahoma,Alindus,40
New Hampshire,Infosys,223
New Hampshire,Universal Software,92
